its	అది ప్లస్ వన్ చదువుతున్నా
the unit employs around workers	సుమారు మంది ఉద్యోగులు ఈ సంస్థ కోసం పనిచేస్తున్నారు
it comes in two colours	ఇది రెండు రుచులలో వస్తుంది
clues team collected the evidences	క్లూస్ టీమ్ ఆధారాలు సేకరిస్తోంది
garlic is best consumed raw	ముడి రూపంలో వెల్లుల్లి తినడం ఉత్తమం
our brave soldier has returned	మన వీర సైనికుడు తిరిగి వచ్చాడు
i never believed in marriage	నాకు మగజాతిపై నమ్మకం లేక పెళ్లి చేసుకోలేదు
delhi is a prime example	ఇందుకు దేశ రాజధాని ఢిల్లీనే ఉదాహరణ
man duped of rs lakh	రూ లక్షలు తీసుకొని చేతులెత్తేసిన వరుడు
cpi state secretary k ramakrishna	విలేకరుల సమావేశంలో సీపీఐ రాష్ట్ర కార్యదర్శి కె రామకృష్ణ
dont sweat the small stuff	చిన్న విషయాన్ని పెద్దగా చేయకు
the procedure is very easy	విధానం నిర్వహించిన చాలా సులభం
the centre can accommodate people	ప్రధాన హాలు ప్రదేశాల్లో మంది సదుపాయాన్ని
two youths killed in accident	కారు ఢీకొని ఇద్దరు యువకులు మృతి
it must be made public	దానికి ప్రజామోదం తప్పనిసరిగా ఉండాలె
man kills wife over suspicion	అనుమానంతో భార్యను సజీవ దహనం చేసిన భర్త
violence can never be condoned	హింస ఎప్పుడూ ఆమోదయోగ్యం కాదు
such cases are frequently reported	ఇలాంటి ఘటనలు తరచూ వార్తలో వస్తుంటాయి కూడా
but so far it hasnt	కానీ ఇంతవరకు అది తెరకెక్కలేదు
then the victory is yours	అప్పుడు విజయం మీవెంటే ఉండటం ఖాయం
woman raped on marriage pretext	వివాహేతర సంబంధం నేపథ్యంలో మహిళ దారుణహత్య
the court accepted the application	ఆ దరఖాస్తును కోర్టు అంగీకరించింది
so the options are plenty	కాబట్టి ఎంపికలు చాలా ఉన్నాయి
ours is an agricultural family	మాది సాధారణ వ్యవసాయ కుటుంబం
nothing is impossible to man	అది మానవులకు సాధ్యం కాదు ప్రభూ
hyderabad farmer hacked to death	హైదరాబాద్ పాతబస్తీలో దారుణ హత్య
technically he is very sound	టెక్నికల్గా చాలా బాగా ఉంటుంది
court ruled against the petition	శ్రుతి పిటిషన్ ను కొట్టేసిన కోర్టు
